"","Recording_ID","Recordist","License","Url"
"56",420787,"Bates Estabrooks","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/420787"
"57",420606,"Bates Estabrooks","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/420606"
"58",416551,"Sue Riffe","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/416551"
"59",415926,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/415926"
"60",408639,"Molly Jacobson","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/408639"
"61",390595,"Martin St-Michel","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/390595"
"62",390275,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/390275"
"63",390274,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/390274"
"64",390273,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/390273"
"65",387175,"Kent Livezey","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/387175"
"66",380308,"Patrick Blake","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/380308"
"67",373258,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/373258"
"68",372260,"Ken Blankenship","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/372260"
"69",370056,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/370056"
"70",368804,"Dan Lane","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/368804"
"71",363522,"Brian Murphy","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/363522"
"72",363521,"Brian Murphy","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/363521"
"73",360933,"Matt Brady","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/360933"
"74",356775,"Melani Sleder","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/356775"
"75",356765,"Melani Sleder","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/356765"
"76",351543,"Melani Sleder","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/351543"
"77",343932,"Sue Riffe","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/343932"
"78",343931,"Sue Riffe","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/343931"
"79",325166,"Bernard BOUSQUET","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/325166"
"80",313505,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/313505"
"81",312729,"Matt Wistrand","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/312729"
